country,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
South Africa,125.38,125.35,125.35,125.32,125.32,125.32,125.26,125.23,125.20,125.11,125.11,125.02,124.93,124.87,124.71,124.27,124.11,124.02,123.93,123.65,173.57
Mexico,120.03,120.04,120.07,120.08,120.02,120.23,120.46,121.45,122.73,123.12,124.54,106.00,7.07,8.58,6.22,3.70,2.89,3.38,4.34,5.30,6.99
Libya,116.64,116.64,116.64,116.64,116.64,116.64,116.64,116.64,116.64,116.64,116.64,116.64,143.82,143.82,143.82,143.82,143.82,143.82,143.82,143.82,143.82
Greece,114.24,114.05,113.89,113.49,113.09,112.93,112.81,112.62,112.43,112.15,111.87,111.62,111.59,112.43,112.49,112.52,111.74,107.95,107.70,107.33,122.38
South Korea,104.45,104.45,104.45,104.45,104.40,104.40,104.40,104.40,104.44,104.43,84.43,54.43,14.43,14.41,14.31,14.26,12.99,14.22,14.11,13.96,13.81
Romania,103.62,103.63,103.64,103.64,103.69,103.69,103.69,103.70,103.71,103.71,103.71,103.71,103.71,103.71,103.70,103.70,104.68,104.82,105.02,105.05,105.30
Qatar,91.75,56.73,56.71,42.22,31.26,29.70,29.69,22.22,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,0.60,0.60,1.30,0.60,0.60
United Arab Emirates,79.95,55.43,57.60,22.49,7.49,7.62,7.41,7.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.34
Australia,79.84,79.84,79.84,79.84,79.84,79.84,79.84,79.84,79.84,79.84,79.84,79.84,79.84,79.84,79.83,79.80,79.77,79.77,79.74,79.71,79.71
Kuwait,78.97,78.97,78.97,78.97,78.96,78.96,78.96,78.96,78.96,78.96,78.96,78.96,78.90,78.96,78.96,78.96,78.96,78.96,78.96,78.96,78.96
Indonesia,78.57,78.57,78.57,78.57,78.54,80.56,78.07,78.07,78.07,78.07,74.03,73.10,73.10,73.10,73.10,73.10,73.10,96.43,96.46,96.46,96.46
Denmark,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.55,66.56
Pakistan,64.65,64.65,64.64,64.64,64.62,64.57,64.54,64.52,64.49,64.46,64.46,64.43,64.42,65.47,65.47,65.47,65.35,65.31,65.31,65.24,65.15
Argentina,61.74,54.77,61.74,54.90,54.79,54.79,56.77,61.75,61.75,61.75,61.75,61.75,54.75,54.75,54.75,54.75,54.75,54.75,55.06,0.29,0.28
Belarus,53.64,53.36,50.02,48.75,46.95,46.54,46.17,41.94,42.45,44.35,42.74,37.64,35.30,23.15,13.47,8.47,15.57,12.46,6.24,3.13,6.24
Cambodia,52.44,50.45,45.47,35.50,30.52,22.54,19.55,14.45,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43
Finland,49.02,49.02,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.05,49.05
Jordan,43.50,43.50,43.50,43.50,43.50,43.50,41.32,41.32,19.24,15.51,13.81,12.71,12.71,12.71,12.72,14.24,12.68,12.73,12.73,12.73,12.70
Bolivia,42.51,42.51,42.51,42.51,42.51,42.51,42.51,42.51,42.51,42.51,42.33,42.33,35.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33
Bulgaria,40.84,40.83,40.83,40.48,40.43,40.37,40.30,40.19,40.07,39.99,39.93,39.90,39.90,39.90,39.88,39.80,39.79,39.82,39.84,39.87,39.88
Malaysia,38.88,38.88,38.88,38.88,38.88,37.64,38.26,38.26,35.77,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39
Republic of Serbia,38.47,37.34,35.65,30.60,20.42,19.36,18.71,18.13,17.54,16.24,15.29,14.34,13.12,13.12,12.70,12.00,11.80,13.00,10.60,10.40,10.20
WAEMU,36.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,33.78,31.27,21.94,21.94,6.38,11.80,11.80,11.80,11.80,26.29,26.29,26.29,26.29,26.29,26.28,26.28,26.28,26.30,26.30,26.30,26.30
Slovak Rep.,31.69,31.69,31.69,31.69,31.69,31.69,31.69,31.69,31.69,31.78,31.78,31.78,31.78,31.78,35.11,35.11,35.11,35.11,35.11,35.11,35.11
Ukraine,27.06,27.06,26.13,25.20,24.27,25.51,25.51,27.38,23.65,42.31,35.47,28.04,27.54,27.01,26.57,26.04,25.20,24.27,16.18,19.60,23.33
Syria,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.89,25.89,25.89,25.89,25.89,25.89
Morocco,22.12,22.12,22.12,22.12,22.12,22.11,22.10,22.09,22.06,22.04,22.04,22.04,22.04,22.05,22.02,22.02,22.02,22.02,22.02,22.02,22.02
Nigeria,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46
Kyrgyzstan,16.39,10.19,16.77,14.40,11.20,6.95,4.58,4.23,3.94,3.61,3.06,2.61,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59
Bangladesh,14.03,13.97,13.97,13.97,13.97,13.97,13.78,13.78,13.78,13.51,13.51,13.51,13.51,3.51,3.51,3.51,3.50,3.50,3.50,3.48,3.49
Cyprus,13.90,13.90,13.90,13.90,13.90,13.90,13.90,13.90,13.90,13.87,13.87,13.87,13.87,13.87,13.87,14.47,14.47,14.47,14.47,14.47,14.45
Curaçao and Sint Maarten,13.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritius,12.43,12.44,12.44,12.44,12.44,12.44,12.43,8.88,7.89,3.88,4.04,3.91,3.91,3.91,1.91,1.92,1.92,1.92,1.92,1.92,1.92
Ireland,12.04,9.52,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,5.48,5.48,5.48,5.48,5.48,5.48
Czech Republic,11.96,10.58,9.48,7.99,8.75,9.43,9.76,10.04,10.58,10.84,11.57,12.44,12.69,12.90,13.12,13.33,13.45,13.52,13.61,13.73,13.73
Ghana,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74
Paraguay,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,0.66,0.66,0.66,0.66,0.00,0.00,0.00,0.00,1.09,1.09
Nepal,7.99,7.99,6.43,6.43,6.43,6.43,6.43,6.12,4.88,3.64,2.08,1.46,1.46,1.46,0.00,0.00,0.00,4.01,4.75,4.75,4.75
Mongolia,7.92,9.67,8.15,22.96,18.68,4.26,1.74,2.23,2.87,3.92,3.66,3.51,2.02,0.93,3.40,7.46,6.66,0.00,0.99,0.49,4.42
Guatemala,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.90,6.90,6.87,6.89,6.87,6.87,6.83,6.85,6.74
Macedonia,6.89,6.89,6.89,6.90,6.89,6.89,6.88,6.81,6.80,6.79,6.79,6.82,6.78,6.78,6.78,6.78,6.78,6.78,6.13,2.75,6.15
Tunisia,6.84,6.84,6.84,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.74,6.74,6.75,6.78,6.78,6.77,6.77,6.77,6.77,6.77,6.77
Latvia,6.66,6.66,6.66,6.63,6.63,6.63,6.63,6.63,6.63,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74
Lithuania,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.81,5.80,5.78,5.78,5.78,5.79,5.79
Colombia,4.68,4.68,4.15,13.88,12.85,10.37,5.77,3.51,10.37,10.37,10.37,10.37,6.88,6.88,6.88,6.89,6.91,10.17,10.18,10.18,10.19
"Bahrain, Kingdom of",4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67
Mozambique,3.94,3.94,3.94,3.94,4.38,4.37,4.37,4.99,5.46,5.46,3.59,2.50,2.34,2.34,2.96,2.96,2.96,2.96,2.01,0.77,2.01
Slovenia,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.18,3.20,3.20,3.19,5.05,5.05,7.55,7.55,7.55
Albania,3.11,2.80,2.80,2.80,1.56,1.56,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,2.16,2.16,2.16,2.16,2.16,2.52
"Aruba, Kingdom of the Netherlands",3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
